方法,評分類型,樣本數,成功數,失敗數,成功率(%),平均品質分數(1-5),平均生成Token,平均評分Token,平均總Token,總Token,每個成功答案Token
Structured,All,28,19,9,67.9,3.94,4201.6,2387.8,6589.4,184503,9710.7
Structured,Answer,14,10,4,71.4,3.88,4499.7,2581.5,7081.2,99137,9913.7
Structured,Evidence,14,9,5,64.3,4.0,3903.6,2194.0,6097.6,85366,9485.1
RAG,All,28,10,18,35.7,2.82,4482.1,2139.3,6621.4,185399,18539.9
RAG,Answer,14,5,9,35.7,2.86,4503.3,2239.6,6742.9,94401,18880.2
RAG,Evidence,14,5,9,35.7,2.79,4460.9,2038.9,6499.9,90998,18199.6
Full transcript,All,28,28,0,100.0,4.86,80956.8,2671.9,83628.7,2341603,83628.7
Full transcript,Answer,14,14,0,100.0,4.74,80943.9,2710.9,83654.8,1171167,83654.8
Full transcript,Evidence,14,14,0,100.0,4.98,80969.8,2632.8,83602.6,1170436,83602.6
